Scenario ID,Suite,Title,Description,Preconditions,Priority,Severity,Type,Behavior,Automation,Status,Layer,Steps_type,Steps_actions,Steps_result,Steps_data
ER-1,Manajer HRD,Verify Sukses Login,User dapat login ke dalam website www.erecruitment.com,User sudah memiliki akun,High,High,Functional,Positive,Is-not-automated,Actual,E2e,Classic,"1. ""user mengakses website www.erecruitment.com""","1. ""halaman utama tampil""","1. ""www.erecruitment.com"""
,,,,,,,,,,,,,"2. ""Klik menu login""","2. ""halaman login muncul""","2. """""
,,,,,,,,,,,,,"3. ""user login dengan akun yang telah terdaftar""","3. ""1. Halaman mengarah pada Halaman Utama\n\n2\\. Terdapat foto profil dipojok halaman""","3. ""user: HRD@gmail.com\npassword: test123"""
ER-2,Manajer HRD,Verify Gagal Login,User tidak dapat login ke dalam website www.erecruitment.com,User tidak memiliki akun,High,High,Functional,Negative,Is-not-automated,Actual,E2e,Classic,"1. ""user mengakses website www.erecruitment.com""","1. ""halaman utama muncul""","1. ""www.erecruitment.com"""
,,,,,,,,,,,,,"2. ""klik menu login""","2. ""halaman login muncul""","2. """""
,,,,,,,,,,,,,"3. ""user login dengan akun yang belum terdaftar""","3. ""terdapat notifikasi \""Login gagal, masukkan username dan password dengan benar\""""","3. ""user: unknown@gmail.com\npassword: test123"""
ER-3,Manajer HRD,Verify User Dapat melihat data Kandidat,User dapat melihat Data pelamar dan status kandidat,User login dan mengakses halaman utama pada website www.erecruitment.com,High,High,Functional,Positive,Is-not-automated,Actual,E2e,Classic,"1. ""klik menu Seleksi Kandidat pada dashboard""","1. ""user dapat masuk ke halaman Seleksi Kandidat dan terdapat list kandidat""","1. """""
,,,,,,,,,,,,,"2. ""klik salah satu nama kandidat""","2. ""Halaman akan mengarah ke CV kandidat""","2. ""pilih kandidat bernama Anjani"""
,,,,,,,,,,,,,"3. ""Cek Status Kandidat""","3. ""Halaman akan mengarah ke CV kandidat dan terdapat Status Kandidat""","3. ""Status Kandidat\n\n1. Seleksi awal - Lolos\/Tidak Lolos\n2. Interview - Lolos\/Tidak Lolos\n3. Technical Challange - Lolos\/Tidak Lolos\n4. Offering - Lolos\/Tidak Lolos\n5. Karyawan"""
,,,,,,,,,,,,,"4. ""Cek Informasi pribadi kandidat""","4. ""informasi pribadi muncul dihalaman seleksi awal""","4. ""Nama depan: Anjani\nnama belakang: Arum\ntempat tanggal lahir : Jakarta, 04 Mei 1990\njenis kelamin : perempuan\nno.hp: 08123456789\nemail: anjani@gmail.com"""
,,,,,,,,,,,,,"5. ""Cek riwayat pendidikan kandidat""","5. ""riwayat pendidikan muncul dihalaman seleksi awal""","5. ""SMA: SMAN 1 Jakarta - 2018\nuniversitas: Universitas Indonesia - 2023"""
,,,,,,,,,,,,,"6. ""Cek pengalaman kerja kandidat""","6. ""pengalaman kerja muncul dihalaman seleksi awal""","6. ""PT Sentosa Raya - 2019\n1\\. Test\\, debug code and meeting quality checks before deployment\n2\\. Do non\\-functional tests \\(load testing\\, stress testing\\, etc\\)\n3\\. Make automation test scripts"""
,,,,,,,,,,,,,"7. ""klik Download CV""","7. ""user dapat mendownload CV kandidat dalam bentu PDF""","7. """""
ER-4,Manajer HRD,Verify User Dapat Membuat Pertanyaan Soal,User dapat membuat daftar pertanyaan untuk wawancara,User telah login dan,Medium,Medium,Other,Positive,Is-not-automated,Actual,Unknown,Classic,"1. ""user membuka Halaman Pertanyaan Wawancara pada menu utama""","1. ""Halaman Pertanyaan Wawancara Muncul""","1. """""
,,,,,,,,,,,,,"2. ""Klik Input Pertanyaan""","2. ""Mengarah pada Halaman Input Pertanyaan""","2. """""
,,,,,,,,,,,,,"3. ""Input Pertanyaan pertama""","3. ""User dapat menginput pertanyaan""","3. """""
,,,,,,,,,,,,,"4. ""Klik tombol (+)""","4. ""Memunculkan Field baru untuk menambah jumlah pertanyaan""","4. """""
,,,,,,,,,,,,,"5. ""Klik Tombol Submit""","5. ""Halaman mengarah kepada Halaman Pertanyaan Wawancara dan Pertanyaan yang sudah diinput akan muncul""","5. """""
